player_id,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season_year,season_type
jonesma05,SAC,SG,5.0,0.0,28.0,2.0,8.0,2.0,7.0,0.0,1.0,1.0,2.0,1.0,4.0,5.0,5.0,1.0,0.0,2.0,3.0,7.0,2024,regular
toscaju01,SAC,SF,11.0,0.0,53.0,3.0,12.0,1.0,4.0,2.0,8.0,0.0,0.0,4.0,10.0,14.0,4.0,1.0,1.0,2.0,11.0,7.0,2024,regular
brownch02,NYK,SG,8.0,0.0,37.0,2.0,10.0,2.0,7.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,5.0,6.0,2024,regular
whiteja03,MEM,SF,4.0,0.0,64.0,2.0,16.0,2.0,10.0,0.0,6.0,0.0,0.0,4.0,8.0,12.0,1.0,4.0,1.0,2.0,3.0,6.0,2024,regular
wiggili01,MIL,PG,3.0,0.0,8.0,2.0,5.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,2024,regular
ntilila01,CHO,PG,5.0,0.0,43.0,1.0,9.0,1.0,8.0,0.0,1.0,2.0,2.0,1.0,5.0,6.0,4.0,0.0,0.0,1.0,4.0,5.0,2024,regular
willial06,MIA,SG,7.0,0.0,16.0,2.0,8.0,0.0,4.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,5.0,2024,regular
brockiz01,NOP,PG,1.0,0.0,3.0,2.0,5.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2024,regular
harrike01,ORL,SG,2.0,0.0,6.0,2.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,4.0,2024,regular
jeromty01,CLE,SG,2.0,0.0,15.0,2.0,4.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,4.0,2024,regular
liddeej01,NOP,PF,8.0,0.0,23.0,1.0,6.0,0.0,5.0,1.0,1.0,2.0,2.0,0.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,4.0,2024,regular
spencpa01,GSW,PG,6.0,0.0,26.0,2.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,4.0,5.0,0.0,0.0,1.0,1.0,4.0,2024,regular
flaglad01,OKC,SG,2.0,0.0,14.0,1.0,7.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,2024,regular
garubus01,GSW,PF,6.0,0.0,18.0,1.0,6.0,0.0,1.0,1.0,5.0,1.0,2.0,3.0,4.0,7.0,1.0,1.0,3.0,2.0,2.0,3.0,2024,regular
whiteda01,BRK,SF,2.0,0.0,24.0,1.0,5.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,4.0,4.0,3.0,0.0,1.0,0.0,0.0,3.0,2024,regular
nancepe01,CLE,PF,8.0,0.0,27.0,1.0,6.0,1.0,1.0,0.0,5.0,0.0,2.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,3.0,2024,regular
petrufi01,PHI,C,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,regular
petrufi01,SAC,C,2.0,0.0,7.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2024,regular
diallha01,WAS,SG,2.0,0.0,5.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2024,regular
harrish01,MEM,SG,3.0,0.0,6.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2024,regular
jacksqu01,IND,PG,3.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,1.0,2.0,2024,regular
nowelma01,TOR,SG,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2024,regular
primojo01,LAC,SG,2.0,0.0,10.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,2024,regular
wongis01,IND,SG,1.0,0.0,4.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2024,regular
